Sample_name,Well_number,X_mosaic,Y_mosaic,Object_number,Cell_class,CentroidX,CentroidY,CentroidZ,Volume,Compactness,Elongation
dataset_0120,1,1,1,58,none,337.8322,568.4255,76.2955,1165.6188,0.2281,2.2536
dataset_0120,1,1,1,59,none,457.2097,273.5323,76.0081,341.6944,0.2885,1.7746
dataset_0120,1,1,1,60,none,424.8665,276.5597,77.0094,1176.6412,0.07721,1.7278
dataset_0120,1,1,1,61,lectine,348.0829,426.4371,77.5029,964.46,0.2735,2.6822
dataset_0120,1,1,1,62,none,342.3399,518.9739,76.4641,421.6068,0.2779,2.1747
dataset_0120,1,1,1,63,lectine,506.888,662.3641,78.8717,2535.152,0.07557,2.0146
dataset_0120,1,1,1,64,lectine,389.2639,357.628,80.9314,5660.0024,0.04543,1.194
dataset_0120,1,1,1,65,lectine,380.5159,569.4101,84.6154,14789.3052,0.03732,3.3997
dataset_0120,1,1,1,66,lectine,464.2658,266.1063,78.8505,829.4356,0.216,1.9225
dataset_0120,1,1,1,67,lectine,346.9541,474.3825,83.2077,4444.7828,0.09151,4.3973
dataset_0120,1,1,1,68,none,454.6346,390.125,78.9904,286.5824,0.2244,2.0842
dataset_0120,1,1,1,69,lectine,390.3604,442.2973,79.0721,305.8716,0.2939,1.8796
dataset_0120,1,1,1,70,lectine,339.4095,455.9025,79.8524,989.2604,0.09257,1.4074
dataset_0120,1,1,1,71,lectine,310.5211,489.9684,79.9421,1047.128,0.2083,1.4155
dataset_0120,1,1,1,72,lectine,320.7703,497.7907,80.125,947.9264,0.1509,1.9467
dataset_0120,1,1,1,73,lectine,523.4865,634.9502,85.1767,9402.1072,0.04118,1.2365
dataset_0120,1,1,1,74,none,727.5787,216.3661,83.5276,2047.4108,0.2497,3.2569
dataset_0120,1,1,1,75,bodipy,433.3535,229.8131,80.5152,545.6088,0.146,1.5408
dataset_0120,1,1,1,76,bodipy,546.1984,23.9929,82.8067,2708.7548,0.2183,2.0528
dataset_0120,1,1,1,77,lectine,591.8937,231.2046,83.0103,2411.15,0.1811,1.7248
dataset_0120,1,1,1,78,none,442.1594,245.0725,82.1652,950.682,0.2305,1.8949
dataset_0120,1,1,1,79,lectine,364.3132,452.8876,82.3806,1961.9872,0.0927,1.3098
dataset_0120,1,1,1,80,lectine,363.3953,516.2405,85.1032,2830.0012,0.1824,2.9933
dataset_0120,1,1,1,81,lectine,519.2653,518.268,84.8518,5130.9272,0.04012,2.0151
dataset_0120,1,1,1,82,none,493.4242,678.1212,82.8303,909.348,0.2596,2.1842
dataset_0120,1,1,1,83,lectine,433.0782,354.3061,83.9864,810.1464,0.2444,2.1753
dataset_0120,1,1,1,84,lectine,413.2721,388.0884,82.9864,405.0732,0.1957,1.2534
dataset_0120,1,1,1,85,lectine,540.2627,515.0791,84.5696,870.7696,0.2873,3.0151
dataset_0120,1,1,1,86,lectine,629.2475,517.997,87.6348,8148.3092,0.07981,1.3448
dataset_0120,1,1,1,87,lectine,643.3086,226.9733,86.3196,2267.8588,0.2272,1.788
dataset_0120,1,1,1,88,lectine,457.1568,229.0295,88.2547,4111.3552,0.07169,2.2531
dataset_0120,1,1,1,89,lectine,425.0806,340.1129,83.4839,170.8472,0.2785,1.1316
dataset_0120,1,1,1,90,lectine,422.1595,375.858,85.6128,1416.3784,0.1683,1.777
dataset_0120,1,1,1,91,lectine,410.5775,400.5634,83.8521,391.2952,0.1609,1.5024
dataset_0120,1,1,1,92,lectine,541.3143,433.8143,84.0071,385.784,0.187,1.3764
dataset_0120,1,1,1,93,none,373.2027,588.4827,84.552,1033.35,0.2209,1.2124
dataset_0120,1,1,1,94,none,431.8531,387.9153,84.9492,487.7412,0.2112,1.2665
dataset_0120,1,1,1,95,bodipy,665.5209,556.877,85.856,1052.6392,0.226,1.6457
dataset_0120,1,1,1,96,cd68,495.7348,620,86.4088,1631.3152,0.2632,2.4525
dataset_0120,1,1,1,97,bodipy,597.097,105.3585,87.5581,2444.2172,0.0975,1.276
dataset_0120,1,1,1,98,lectine,497.1493,271.6758,86.8644,1402.6004,0.07532,2.2369
